ReviewID,MemberID,EquipmentID,Date,Rating,Comments
165,72193,52,2024-08-27,5,"Great value for the price, will rent again."
166,25607,196,2023-07-17,5,The item was exactly what I needed for my event.
167,19242,75,2021-08-08,5,The rental made a huge difference in the success of my project!
168,94667,28,2024-03-29,2,"The equipment arrived late, which was frustrating."
169,7613,63,2024-04-25,5,I was surprised by how easy the equipment was to use.
170,35696,87,2024-08-17,1,The equipment was not in great condition upon arrival.
171,22752,71,2024-10-11,5,Everything arrived clean and in excellent condition.
172,868,181,2022-06-19,5,"Great value for the price, will rent again."
173,2996,103,2024-01-29,5,I had an excellent experience; the equipment was exactly what I needed!
174,63032,180,2021-09-05,5,I had no issues during my rental period at all!
175,61319,123,2023-07-28,2,The pickup was more difficult than expected.
176,13617,64,2024-10-13,5,I was impressed with the quality and durability.
177,83656,156,2023-12-27,5,The rental process was simple and efficient!
178,31654,190,2024-03-10,5,"Everything worked perfectly, no complaints here!"
179,25607,195,2024-04-05,1,I faced unexpected fees that I wasn't informed about.
180,25379,5,2024-08-20,3,The item was heavy and hard to transport.
181,66407,183,2024-08-21,1,The equipment was not in great condition upon arrival.
182,75889,83,2024-11-01,2,The overall experience did not meet my expectations.
183,84887,72,2019-07-08,2,The equipment was outdated and not very reliable.
184,49536,159,2024-02-13,2,I encountered issues with the setup instructions.
185,31654,120,2021-04-12,5,This is my go-to rental service from now on!
186,868,158,2021-12-17,2,"The rental terms were unclear, leading to confusion."
187,3568,134,2024-06-09,5,The rental process was simple and efficient!
188,16004,121,2024-09-21,5,Everything was delivered on time and as promised.
189,89110,122,2023-10-17,2,I had a hard time getting the equipment to work properly.
190,83656,41,2023-07-22,2,The handling of the equipment was cumbersome.
191,4355,122,2024-04-07,5,The setup was straightforward and easy to follow.
